Year,S&P 500,Aggressive,Moderate,Conservative
1928,0.43811155152887893,0.35048924122310315,0.28477250849377134,0.21905577576443946
1929,-0.0829794661190966,-0.06638357289527728,-0.05393665297741279,-0.0414897330595483
1930,-0.25123636363636365,-0.20098909090909092,-0.16330363636363637,-0.12561818181818182
1931,-0.4383754889178619,-0.3507003911342895,-0.28494406779661025,-0.21918774445893094
1932,-0.08642364532019696,-0.06913891625615758,-0.056175369458128024,-0.04321182266009848
1933,0.49982225433526023,0.3998578034682082,0.32488446531791915,0.24991112716763011
1934,-0.011885656970912803,-0.009508525576730244,-0.007725677031093323,-0.0059428284854564015
1935,0.4674042105263158,0.37392336842105267,0.3038127368421053,0.2337021052631579
1936,0.3194341027550261,0.2555472822040209,0.20763216679076696,0.15971705137751305
1937,-0.3533672875436554,-0.2826938300349243,-0.229688736903376,-0.1766836437718277
1938,0.29282654028436017,0.23426123222748815,0.1903372511848341,0.14641327014218009
1939,-0.010975646879756443,-0.008780517503805155,-0.0071341704718416886,-0.005487823439878222
1940,-0.10672873194221515,-0.08538298555377212,-0.06937367576243984,-0.05336436597110757
1941,-0.1277145557655955,-0.10217164461247641,-0.08301446124763709,-0.06385727788279776
1942,0.19173762945914843,0.15339010356731875,0.12462945914844649,0.09586881472957422
1943,0.25061310133060394,0.20049048106448317,0.16289851586489257,0.12530655066530197
1944,0.1903067694944301,0.15224541559554408,0.12369940017137956,0.09515338474721505
1945,0.358210843373494,0.2865686746987952,0.23283704819277112,0.179105421686747
1946,-0.08429147465437781,-0.06743317972350225,-0.05478945852534558,-0.042145737327188904
1947,0.052,0.0416,0.0338,0.026
1948,0.057045751633986834,0.04563660130718947,0.037079738562091444,0.028522875816993417
1949,0.18303223684210526,0.1464257894736842,0.11897095394736842,0.09151611842105263
1950,0.30805539011316263,0.2464443120905301,0.20023600357355573,0.15402769505658132
1951,0.2367846304454234,0.1894277043563387,0.1539100097895252,0.1183923152227117
1952,0.18150988641144306,0.14520790912915446,0.117981426167438,0.09075494320572153
1953,-0.012082047421904465,-0.009665637937523572,-0.007853330824237902,-0.006041023710952232
1954,0.525633212414349,0.4205065699314792,0.3416615880693269,0.2628166062071745
1955,0.3259733185102835,0.2607786548082268,0.21188265703168427,0.16298665925514175
1956,0.07439511873350935,0.05951609498680748,0.048356827176781074,0.03719755936675467
1957,-0.1045736018855796,-0.08365888150846368,-0.06797284122562675,-0.0522868009427898
1958,0.43719954988747184,0.3497596399099775,0.2841797074268567,0.21859977494373592
1959,0.12056457163557326,0.09645165730845862,0.07836697156312263,0.06028228581778663
1960,0.00336535314743695,0.0026922825179495602,0.0021874795458340177,0.001682676573718475
1961,0.2663771295818275,0.21310170366546202,0.1731451342281879,0.13318856479091376
1962,-0.08811460517120888,-0.0704916841369671,-0.057274493361285775,-0.04405730258560444
1963,0.22611927099841514,0.1808954167987321,0.14697752614896983,0.11305963549920757
1964,0.16415455878432425,0.1313236470274594,0.10670046320981076,0.08207727939216213
1965,0.12399242477876114,0.09919393982300892,0.08059507610619475,0.06199621238938057
1966,-0.0997095423563779,-0.07976763388510233,-0.06481120253164564,-0.04985477117818895
1967,0.23802966513133328,0.19042373210506663,0.15471928233536664,0.11901483256566664
1968,0.10814862651601535,0.08651890121281229,0.07029660723540998,0.05407431325800768
1969,-0.08241371076449064,-0.06593096861159252,-0.05356891199691892,-0.04120685538224532
1970,0.03561144905496419,0.028489159243971354,0.023147441885726722,0.017805724527482095
1971,0.14221150298426474,0.1137692023874118,0.09243747693977208,0.07110575149213237
1972,0.18755362915074925,0.1500429033205994,0.12190985894798702,0.09377681457537462
1973,-0.14308047437526472,-0.11446437950021178,-0.09300230834392208,-0.07154023718763236
1974,-0.2590178575089697,-0.20721428600717579,-0.16836160738083034,-0.12950892875448486
1975,0.36995137106184356,0.29596109684947486,0.24046839119019833,0.18497568553092178
1976,0.23830999002106662,0.1906479920168533,0.1549014935136933,0.11915499501053331
1977,-0.06979704075935232,-0.05583763260748186,-0.04536807649357901,-0.03489852037967616
1978,0.0650928391167193,0.05207427129337544,0.04231034542586755,0.03254641955835965
1979,0.18519490167516386,0.14815592134013109,0.12037668608885652,0.09259745083758193
1980,0.3173524550676301,0.25388196405410407,0.20627909579395956,0.15867622753381505
1981,-0.04702390247495576,-0.037619121979964615,-0.030565536608721248,-0.02351195123747788
1982,0.20419055079559353,0.16335244063647483,0.1327238580171358,0.10209527539779677
1983,0.22337155858930619,0.17869724687144495,0.14519151308304903,0.11168577929465309
1984,0.0614614199963621,0.049169135997089684,0.03994992299763537,0.03073070999818105
1985,0.3123514948576895,0.2498811958861516,0.20302847165749818,0.15617574742884474
1986,0.18494578758046187,0.14795663006436952,0.12021476192730023,0.09247289379023094
1987,0.05812721641821871,0.04650177313457497,0.037782690671842166,0.029063608209109356
1988,0.16537192812044688,0.1322975424963575,0.10749175327829047,0.08268596406022344
1989,0.31475183638196724,0.2518014691055738,0.20458869364827872,0.15737591819098362
1990,-0.03064451612903212,-0.024515612903225695,-0.019918935483870876,-0.01532225806451606
1991,0.3023484313487976,0.24187874507903806,0.19652648037671844,0.1511742156743988
1992,0.07493727972380064,0.05994982377904051,0.04870923182047042,0.03746863986190032
1993,0.0996705147919488,0.07973641183355905,0.06478583461476672,0.0498352573959744
1994,0.013259206774573897,0.010607365419659119,0.008618484403473034,0.006629603387286949
1995,0.3719519890260631,0.29756159122085046,0.241768792866941,0.18597599451303154
1996,0.2268096601886579,0.18144772815092633,0.14742627912262762,0.11340483009432895
1997,0.33103653103653097,0.2648292248292248,0.21517374517374513,0.16551826551826548
1998,0.28337953278443584,0.2267036262275487,0.1841966963098833,0.14168976639221792
1999,0.20885350992084475,0.16708280793667582,0.1357547814485491,0.10442675496042238
2000,-0.09031818955249278,-0.07225455164199422,-0.05870682320912031,-0.04515909477624639
2001,-0.11849759142000185,-0.09479807313600148,-0.0770234344230012,-0.059248795710000926
2002,-0.219660479579127,-0.1757283836633016,-0.14277931172643255,-0.1098302397895635
2003,0.2835580005001023,0.22684640040008186,0.18431270032506653,0.14177900025005116
2004,0.10742775944096193,0.08594220755276955,0.06982804363662526,0.053713879720480966
2005,0.048344775232688535,0.03867582018615083,0.03142410390124755,0.024172387616344267
2006,0.15612557979315703,0.12490046383452563,0.10148162686555207,0.07806278989657851
2007,0.054847352464217694,0.043877881971374155,0.035650779101741505,0.027423676232108847
2008,-0.3655234411179819,-0.2924187528943855,-0.23759023672668825,-0.18276172055899095
2009,0.2593523387766398,0.20748187102131188,0.16857902020481588,0.1296761693883199
2010,0.14821092278719414,0.11856873822975532,0.0963370998116762,0.07410546139359707
2011,0.0209837473362805,0.016786997869024402,0.013639435768582326,0.01049187366814025
2012,0.15890585241730293,0.12712468193384235,0.10328880407124691,0.07945292620865146
2013,0.32145085858125483,0.2571606868650039,0.20894305807781566,0.16072542929062741
2014,0.13524421649462237,0.1081953731956979,0.08790874072150455,0.06762210824731119
2015,0.013788916411676138,0.011031133129340912,0.00896279566758949,0.006894458205838069
2016,0.11773080874798171,0.09418464699838537,0.07652502568618812,0.058865404373990855
2017,0.2160548143449928,0.17284385147599424,0.14043562932424533,0.1080274071724964
2018,-0.04226869289088544,-0.033814954312708354,-0.027474650379075535,-0.02113434644544272
2019,0.31211679996808755,0.24969343997447005,0.2028759199792569,0.15605839998404378
2020,0.18023201827422478,0.14418561461937981,0.11715081187824611,0.09011600913711239
2021,0.2846885175196416,0.2277508140157133,0.18504753638776703,0.1423442587598208
2022,-0.18008971545346592,-0.14407177236277274,-0.11705831504475285,-0.09004485772673296
2023,0.261,0.2088,0.16965000000000002,0.1305
